trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 1.0}",20,0,-63.43894509078438,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 1, 'e': 0.9704455335485082}",20,0,-133.7346421121757,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 1, 'e': 0.9417645335842487}",25,2,-113.84981675943875,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 1}",1
4,False,"{'a': 1, 'e': 0.9139311852712282}",30,14,-42.648603311832666,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 0}",1
5,False,"{'a': 1, 'e': 0.8869204367171575}",25,0,-194.65653421229908,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
6,False,"{'a': 1, 'e': 0.8607079764250578}",25,2,-50.55161503557049,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 0}",1
7,False,"{'a': 1, 'e': 0.835270211411272}",25,0,-203.1182441371792,"{0: 14, 1: 3, 2: 2, 3: 3, 4: 3}",0
8,False,"{'a': 1, 'e': 0.8105842459701871}",20,0,-3.2624527399548766,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 1, 'e': 0.7866278610665535}",20,0,-106.44286157139553,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 1, 'e': 0.7633794943368531}",30,0,-137.11700459647193,"{0: 19, 1: 4, 2: 3, 3: 3, 4: 1}",0
11,False,"{'a': 1, 'e': 0.7408182206817179}",25,19,12.45954731228155,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 1, 'e': 0.7189237334319262}",20,0,-69.9158987449353,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 1, 'e': 0.697676326071031}",20,0,-79.56940775424124,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
