trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.6666666666666666}",20,0,-95.67078120322381,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.5}",25,0,-235.5646768159639,"{0: 10, 1: 2, 2: 8, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.4}",20,0,-108.26156891792515,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.3333333333333333}",25,0,-301.10948189391746,"{0: 7, 1: 5, 2: 8, 3: 0, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.2857142857142857}",20,0,-74.75285635672664,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.25}",25,0,-23.779277225630803,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.2222222222222222}",25,0,-188.57141473608118,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.2}",25,0,-194.174440632972,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.18181818181818182}",25,0,-127.48451638258729,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.16666666666666666}",20,0,-113.89190722227812,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.15384615384615385}",20,0,-90.31399650241663,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.14285714285714285}",25,0,-106.9127350648151,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.13333333333333333}",30,0,-118.85844528374416,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.125}",25,0,-157.11781413464013,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.11764705882352941}",30,0,-75.79110495290047,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-190.1714650164493,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.10526315789473684}",20,0,-66.56323196622945,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.1}",25,0,-162.718136108976,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.09523809523809523}",25,0,-138.704148286068,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.09090909090909091}",20,0,-127.0456218889189,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-81.81271325224319,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-117.81512407832498,"{0: 17, 1: 7, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",35,0,-248.91512690463858,"{0: 19, 1: 5, 2: 6, 3: 1, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",20,0,-164.11010983185523,"{0: 7, 1: 6, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",30,8,-127.59434933873037,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 3}",1
6,True,"{'a': 0, 'e': 0}",20,0,-75.43332218611789,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-178.60658237414182,"{0: 14, 1: 6, 2: 6, 3: 3, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-177.8514704920048,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,0,-121.88638259168208,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",35,0,-203.08194742144047,"{0: 19, 1: 3, 2: 9, 3: 2, 4: 2}",0
